"","Slope (95% CI)","p value (slope)","Intercept  (95% CI)","Predicted R2"
"Basal FGC ~ Body Mass","-0.34 (-0.46, -0.22)","< 0.001","8 (6.26, 9.74)",0.602
"Basal FGC ~ MSMR","1.04 (0.69, 1.39)","< 0.001","11.75 (9.68, 13.82)",0.496
"Elevated FGC ~ Basal FGC","0.92 (0.75, 1.09)","< 0.001","1.61 (0.76, 2.45)",0.774
"Lifespan ~ Basal FGC","-0.19 (-0.26, -0.11)","< 0.001","4.16 (2.63, 5.69)",0.763
